Trace1,
Freq,,Amp,,
            15447122,Hz,              -32.88, dBm,
            16327878,Hz,              -32.73, dBm,
            17208634,Hz,              -32.08, dBm,
            18089390,Hz,              -31.29, dBm,
            18970146,Hz,              -30.34, dBm,
            19850902,Hz,              -29.40, dBm,
            20731658,Hz,              -28.45, dBm,
            21612414,Hz,              -26.71, dBm,
            22493170,Hz,              -22.00, dBm,
            23373926,Hz,              -13.77, dBm,
            24254682,Hz,               -4.27, dBm,
            25135438,Hz,               -3.86, dBm,
            26016194,Hz,              -13.50, dBm,
            26896950,Hz,              -25.27, dBm,
            27777706,Hz,              -28.47, dBm,
            28658462,Hz,              -30.92, dBm,
            29539218,Hz,              -32.50, dBm,
            30419974,Hz,              -33.76, dBm,
            31300730,Hz,              -34.75, dBm,
            32181486,Hz,              -35.54, dBm,
            33062242,Hz,              -36.00, dBm,
            33942998,Hz,              -36.26, dBm,
            34823754,Hz,              -36.19, dBm,
            35704510,Hz,              -36.35, dBm,
            36585266,Hz,              -36.42, dBm,
            37466022,Hz,              -36.00, dBm,
            38346778,Hz,              -35.97, dBm,
            39227534,Hz,              -35.36, dBm,
            40108290,Hz,              -35.01, dBm,
            40989046,Hz,              -34.48, dBm,
            41869802,Hz,              -33.77, dBm,
            42750558,Hz,              -33.05, dBm,
            43631314,Hz,              -33.07, dBm,
            44512070,Hz,              -31.41, dBm,
            45392826,Hz,              -30.25, dBm,
            46273582,Hz,              -26.66, dBm,
            47154338,Hz,              -25.06, dBm,
            48035094,Hz,              -18.57, dBm,
            48915850,Hz,               -7.03, dBm,
            49796606,Hz,               -4.40, dBm,
            50677362,Hz,               -7.74, dBm,
            51558118,Hz,              -23.48, dBm,
            52438874,Hz,              -27.00, dBm,
            53319630,Hz,              -29.40, dBm,
            54200386,Hz,              -31.45, dBm,
            55081142,Hz,              -33.11, dBm,
            55961898,Hz,              -34.74, dBm,
            56842654,Hz,              -35.76, dBm,
            57723410,Hz,              -36.33, dBm,
            58604166,Hz,              -36.96, dBm,
            59484922,Hz,              -37.30, dBm,
            60365678,Hz,              -37.57, dBm,
            61246434,Hz,              -37.46, dBm,
            62127190,Hz,              -37.53, dBm,
            63007946,Hz,              -37.10, dBm,
            63888702,Hz,              -36.87, dBm,
            64769458,Hz,              -36.66, dBm,
            65650214,Hz,              -35.86, dBm,
            66530970,Hz,              -35.32, dBm,
            67411726,Hz,              -34.75, dBm,
            68292482,Hz,              -33.68, dBm,
            69173238,Hz,              -32.77, dBm,
            70053994,Hz,              -31.53, dBm,
            70934750,Hz,              -30.05, dBm,
            71815506,Hz,              -25.89, dBm,
            72696262,Hz,              -21.87, dBm,
            73577018,Hz,              -13.46, dBm,
            74457774,Hz,               -4.87, dBm,
            75338530,Hz,               -4.85, dBm,
            76219286,Hz,              -21.03, dBm,
            77100042,Hz,              -25.55, dBm,
            77980798,Hz,              -28.13, dBm,
            78861554,Hz,              -30.04, dBm,
            79742310,Hz,              -31.78, dBm,
            80623066,Hz,              -33.66, dBm,
            81503822,Hz,              -34.56, dBm,
            82384578,Hz,              -35.77, dBm,
            83265334,Hz,              -37.08, dBm,
            84146090,Hz,              -38.11, dBm,
            85026846,Hz,              -38.65, dBm,
            85907602,Hz,              -38.81, dBm,
            86788358,Hz,              -39.04, dBm,
            87669114,Hz,              -38.98, dBm,
            88549870,Hz,              -39.54, dBm,
            89430626,Hz,              -38.57, dBm,
            90311382,Hz,              -37.92, dBm,
            91192138,Hz,              -37.15, dBm,
            92072894,Hz,              -36.51, dBm,
            92953650,Hz,              -35.44, dBm,
            93834406,Hz,              -34.66, dBm,
            94715162,Hz,              -31.86, dBm,
            95595918,Hz,              -30.21, dBm,
            96476674,Hz,              -27.99, dBm,
            97357430,Hz,              -24.70, dBm,
            98238186,Hz,              -18.71, dBm,
            99118942,Hz,               -5.99, dBm,
            99999698,Hz,               -5.27, dBm,
           100880454,Hz,              -12.34, dBm,
           101761210,Hz,              -23.96, dBm,
           102641966,Hz,              -26.86, dBm,
           103522722,Hz,              -28.83, dBm,
           104403478,Hz,              -30.50, dBm,
           105284234,Hz,              -31.76, dBm,
           106164990,Hz,              -32.95, dBm,
           107045746,Hz,              -33.99, dBm,
           107926502,Hz,              -34.89, dBm,
           108807258,Hz,              -35.85, dBm,
           109688014,Hz,              -36.68, dBm,
           110568770,Hz,              -37.80, dBm,
           111449526,Hz,              -38.89, dBm,
           112330282,Hz,              -39.53, dBm,
           113211038,Hz,              -40.92, dBm,
           114091794,Hz,              -41.45, dBm,
           114972550,Hz,              -40.82, dBm,
           115853306,Hz,              -40.05, dBm,
           116734062,Hz,              -39.55, dBm,
           117614818,Hz,              -38.48, dBm,
           118495574,Hz,              -36.14, dBm,
           119376330,Hz,              -41.98, dBm,
           120257086,Hz,              -32.62, dBm,
           121137842,Hz,              -30.44, dBm,
           122018598,Hz,              -27.37, dBm,
           122899354,Hz,              -22.72, dBm,
           123780110,Hz,               -9.84, dBm,
           124660866,Hz,               -5.74, dBm,
           125541622,Hz,               -6.67, dBm,
           126422378,Hz,              -21.82, dBm,
           127303134,Hz,              -25.32, dBm,
           128183890,Hz,              -27.19, dBm,
           129064646,Hz,              -28.91, dBm,
           129945402,Hz,              -29.79, dBm,
           130826158,Hz,              -30.83, dBm,
           131706914,Hz,              -31.45, dBm,
           132587670,Hz,              -32.19, dBm,
           133468426,Hz,              -32.95, dBm,
           134349182,Hz,              -33.50, dBm,
           135229938,Hz,              -33.79, dBm,
           136110694,Hz,              -34.19, dBm,
           136991450,Hz,              -34.65, dBm,
           137872206,Hz,              -34.90, dBm,
           138752962,Hz,              -35.20, dBm,
           139633718,Hz,              -35.58, dBm,
           140514474,Hz,              -35.59, dBm,
           141395230,Hz,              -36.18, dBm,
           142275986,Hz,              -36.54, dBm,
           143156742,Hz,              -36.86, dBm,
           144037498,Hz,              -36.87, dBm,
           144918254,Hz,              -37.15, dBm,
           145799010,Hz,              -37.31, dBm,
           146679766,Hz,              -37.39, dBm,
           147560522,Hz,              -37.55, dBm,
           148441278,Hz,              -37.39, dBm,
           149322034,Hz,              -37.46, dBm,
           150202790,Hz,              -37.94, dBm,
           151083546,Hz,              -38.74, dBm,
           151964302,Hz,              -38.42, dBm,
           152845058,Hz,              -38.56, dBm,
           153725814,Hz,              -38.70, dBm,
           154606570,Hz,              -38.91, dBm,
           155487326,Hz,              -39.23, dBm,
           156368082,Hz,              -39.11, dBm,
           157248838,Hz,              -39.44, dBm,
           158129594,Hz,              -39.38, dBm,
           159010350,Hz,              -38.95, dBm,
           159891106,Hz,              -39.76, dBm,
           160771862,Hz,              -39.84, dBm,
           161652618,Hz,              -40.18, dBm,
           162533374,Hz,              -39.95, dBm,
           163414130,Hz,              -40.18, dBm,
           164294886,Hz,              -40.32, dBm,
           165175642,Hz,              -49.76, dBm,
           166056398,Hz,              -40.26, dBm,
           166937154,Hz,              -40.55, dBm,
           167817910,Hz,              -41.18, dBm,
           168698666,Hz,              -40.68, dBm,
           169579422,Hz,              -40.98, dBm,
           170460178,Hz,              -41.10, dBm,
           171340934,Hz,              -40.90, dBm,
           172221690,Hz,              -40.97, dBm,
           173102446,Hz,              -41.34, dBm,
           173983202,Hz,              -40.61, dBm,
           174863958,Hz,              -41.13, dBm,
           175744714,Hz,              -42.14, dBm,
           176625470,Hz,              -42.01, dBm,
           177506226,Hz,              -41.72, dBm,
           178386982,Hz,              -41.75, dBm,
           179267738,Hz,              -42.44, dBm,
           180148494,Hz,              -42.34, dBm,
           181029250,Hz,              -42.29, dBm,
           181910006,Hz,              -42.16, dBm,
           182790762,Hz,              -42.47, dBm,
           183671518,Hz,              -42.60, dBm,
           184552274,Hz,              -42.56, dBm,
           185433030,Hz,              -42.82, dBm,
           186313786,Hz,              -42.83, dBm,
           187194542,Hz,              -42.43, dBm,
           188075298,Hz,              -54.59, dBm,
           188956054,Hz,              -42.79, dBm,
           189836810,Hz,              -43.26, dBm,
           190717566,Hz,              -43.01, dBm,
           191598322,Hz,              -43.21, dBm,
           192479078,Hz,              -43.20, dBm,
           193359834,Hz,              -42.93, dBm,
           194240590,Hz,              -42.52, dBm,
           195121346,Hz,              -43.05, dBm,
           196002102,Hz,              -43.53, dBm,
           196882858,Hz,              -43.12, dBm,
           197763614,Hz,              -43.04, dBm,
           198644370,Hz,              -42.81, dBm,
           199525126,Hz,              -42.17, dBm,
           200405882,Hz,              -43.28, dBm,
           201286638,Hz,              -43.42, dBm,
           202167394,Hz,              -43.74, dBm,
           203048150,Hz,              -43.32, dBm,
           203928906,Hz,              -43.78, dBm,
           204809662,Hz,              -43.65, dBm,
           205690418,Hz,              -43.96, dBm,
           206571174,Hz,              -43.83, dBm,
           207451930,Hz,              -43.75, dBm,
           208332686,Hz,              -44.10, dBm,
           209213442,Hz,              -44.03, dBm,
           210094198,Hz,              -43.51, dBm,
           210974954,Hz,              -44.04, dBm,
           211855710,Hz,              -44.43, dBm,
           212736466,Hz,              -44.22, dBm,
           213617222,Hz,              -44.39, dBm,
           214497978,Hz,              -44.24, dBm,
           215378734,Hz,              -44.30, dBm,
           216259490,Hz,              -44.82, dBm,
           217140246,Hz,              -44.75, dBm,
           218021002,Hz,              -45.06, dBm,
           218901758,Hz,              -44.44, dBm,
           219782514,Hz,              -45.11, dBm,
           220663270,Hz,              -45.42, dBm,
           221544026,Hz,              -44.78, dBm,
           222424782,Hz,              -44.56, dBm,
           223305538,Hz,              -44.69, dBm,
           224186294,Hz,              -44.16, dBm,
           225067050,Hz,              -44.57, dBm,
