Trace1,
Freq,,Amp,,
            66513354,Hz,              -64.25, dBm,
            66926580,Hz,              -64.32, dBm,
            67339806,Hz,              -45.72, dBm,
            67753032,Hz,              -63.77, dBm,
            68166258,Hz,              -48.48, dBm,
            68579484,Hz,              -62.03, dBm,
            68992710,Hz,              -63.43, dBm,
            69405936,Hz,              -47.96, dBm,
            69819162,Hz,              -59.79, dBm,
            70232388,Hz,              -46.86, dBm,
            70645614,Hz,              -66.34, dBm,
            71058840,Hz,              -61.49, dBm,
            71472066,Hz,              -43.86, dBm,
            71885292,Hz,              -61.52, dBm,
            72298518,Hz,              -63.79, dBm,
            72711744,Hz,              -41.51, dBm,
            73124970,Hz,              -63.19, dBm,
            73538196,Hz,              -39.57, dBm,
            73951422,Hz,              -62.07, dBm,
            74364648,Hz,              -64.17, dBm,
            74777874,Hz,              -37.34, dBm,
            75191100,Hz,              -63.51, dBm,
            75604326,Hz,              -35.33, dBm,
            76017552,Hz,              -62.80, dBm,
            76430778,Hz,              -64.48, dBm,
            76844004,Hz,              -32.03, dBm,
            77257230,Hz,              -64.37, dBm,
            77670456,Hz,              -28.10, dBm,
            78083682,Hz,              -58.54, dBm,
            78496908,Hz,              -35.14, dBm,
            78910134,Hz,              -14.79, dBm,
            79323360,Hz,               -6.87, dBm,
            79736586,Hz,               -5.39, dBm,
            80149812,Hz,               -5.11, dBm,
            80563038,Hz,               -7.92, dBm,
            80976264,Hz,              -15.49, dBm,
            81389490,Hz,              -33.76, dBm,
            81802716,Hz,              -54.74, dBm,
            82215942,Hz,              -26.82, dBm,
            82629168,Hz,              -63.23, dBm,
            83042394,Hz,              -29.99, dBm,
            83455620,Hz,              -63.65, dBm,
            83868846,Hz,              -62.75, dBm,
            84282072,Hz,              -32.03, dBm,
            84695298,Hz,              -61.77, dBm,
            85108524,Hz,              -33.08, dBm,
            85521750,Hz,              -63.95, dBm,
            85934976,Hz,              -64.17, dBm,
            86348202,Hz,              -33.66, dBm,
            86761428,Hz,              -63.72, dBm,
            87174654,Hz,              -33.89, dBm,
            87587880,Hz,              -61.39, dBm,
            88001106,Hz,              -64.34, dBm,
            88414332,Hz,              -33.71, dBm,
            88827558,Hz,              -61.71, dBm,
            89240784,Hz,              -33.27, dBm,
            89654010,Hz,              -36.14, dBm,
            90067236,Hz,              -64.06, dBm,
            90480462,Hz,              -32.68, dBm,
            90893688,Hz,              -63.41, dBm,
            91306914,Hz,              -63.33, dBm,
            91720140,Hz,              -31.74, dBm,
            92133366,Hz,              -64.82, dBm,
            92546592,Hz,              -30.80, dBm,
            92959818,Hz,              -63.62, dBm,
            93373044,Hz,              -65.29, dBm,
            93786270,Hz,              -29.36, dBm,
            94199496,Hz,              -65.24, dBm,
            94612722,Hz,              -27.86, dBm,
            95025948,Hz,              -64.18, dBm,
            95439174,Hz,              -64.32, dBm,
            95852400,Hz,              -25.71, dBm,
            96265626,Hz,              -63.31, dBm,
            96678852,Hz,              -65.08, dBm,
            97092078,Hz,              -23.11, dBm,
            97505304,Hz,              -64.96, dBm,
            97918530,Hz,              -18.94, dBm,
            98331756,Hz,              -41.22, dBm,
            98744982,Hz,              -21.76, dBm,
            99158208,Hz,              -10.46, dBm,
            99571434,Hz,               -5.84, dBm,
            99984660,Hz,               -5.49, dBm,
           100397886,Hz,               -6.26, dBm,
           100811112,Hz,              -11.92, dBm,
           101224338,Hz,              -12.83, dBm,
           101637564,Hz,              -50.33, dBm,
           102050790,Hz,              -20.31, dBm,
           102464016,Hz,              -62.64, dBm,
           102877242,Hz,              -65.02, dBm,
           103290468,Hz,              -23.79, dBm,
           103703694,Hz,              -63.06, dBm,
           104116920,Hz,              -26.32, dBm,
           104530146,Hz,              -59.62, dBm,
           104943372,Hz,              -65.65, dBm,
           105356598,Hz,              -28.19, dBm,
           105769824,Hz,              -61.31, dBm,
           106183050,Hz,              -62.91, dBm,
           106596276,Hz,              -29.78, dBm,
           107009502,Hz,              -64.21, dBm,
           107422728,Hz,              -31.11, dBm,
           107835954,Hz,              -63.47, dBm,
           108249180,Hz,              -63.46, dBm,
           108662406,Hz,              -32.38, dBm,
           109075632,Hz,              -63.95, dBm,
           109488858,Hz,              -33.27, dBm,
           109902084,Hz,              -62.53, dBm,
           110315310,Hz,              -63.10, dBm,
           110728536,Hz,              -34.20, dBm,
           111141762,Hz,              -63.15, dBm,
           111554988,Hz,              -35.06, dBm,
           111968214,Hz,              -63.03, dBm,
           112381440,Hz,              -66.05, dBm,
           112794666,Hz,              -35.74, dBm,
           113207892,Hz,              -62.95, dBm,
           113621118,Hz,              -48.03, dBm,
           114034344,Hz,              -36.51, dBm,
           114447570,Hz,              -62.83, dBm,
           114860796,Hz,              -37.35, dBm,
           115274022,Hz,              -64.54, dBm,
           115687248,Hz,              -63.52, dBm,
           116100474,Hz,              -37.84, dBm,
           116513700,Hz,              -64.09, dBm,
           116926926,Hz,              -38.38, dBm,
           117340152,Hz,              -63.31, dBm,
           117753378,Hz,              -62.05, dBm,
           118166604,Hz,              -38.91, dBm,
           118579830,Hz,              -65.77, dBm,
           118993056,Hz,              -59.38, dBm,
           119406282,Hz,              -40.52, dBm,
           119819508,Hz,              -52.30, dBm,
           120232734,Hz,              -40.11, dBm,
           120645960,Hz,              -55.15, dBm,
           121059186,Hz,              -61.72, dBm,
           121472412,Hz,              -39.89, dBm,
           121885638,Hz,              -63.61, dBm,
           122298864,Hz,              -40.04, dBm,
           122712090,Hz,              -63.12, dBm,
           123125316,Hz,              -62.03, dBm,
           123538542,Hz,              -41.35, dBm,
           123951768,Hz,              -64.37, dBm,
           124364994,Hz,              -41.64, dBm,
           124778220,Hz,              -61.94, dBm,
           125191446,Hz,              -64.70, dBm,
           125604672,Hz,              -42.21, dBm,
           126017898,Hz,              -62.42, dBm,
           126431124,Hz,              -42.15, dBm,
           126844350,Hz,              -62.24, dBm,
           127257576,Hz,              -63.98, dBm,
           127670802,Hz,              -42.45, dBm,
           128084028,Hz,              -64.32, dBm,
           128497254,Hz,              -62.80, dBm,
           128910480,Hz,              -43.09, dBm,
           129323706,Hz,              -62.53, dBm,
           129736932,Hz,              -43.33, dBm,
           130150158,Hz,              -62.33, dBm,
           130563384,Hz,              -64.01, dBm,
           130976610,Hz,              -43.52, dBm,
           131389836,Hz,              -63.15, dBm,
           131803062,Hz,              -44.07, dBm,
           132216288,Hz,              -62.18, dBm,
           132629514,Hz,              -63.35, dBm,
           133042740,Hz,              -44.14, dBm,
           133455966,Hz,              -65.38, dBm,
           133869192,Hz,              -44.60, dBm,
           134282418,Hz,              -64.52, dBm,
           134695644,Hz,              -62.34, dBm,
           135108870,Hz,              -44.68, dBm,
           135522096,Hz,              -63.71, dBm,
           135935322,Hz,              -45.68, dBm,
           136348548,Hz,              -54.75, dBm,
           136761774,Hz,              -63.49, dBm,
           137175000,Hz,              -45.49, dBm,
           137588226,Hz,              -63.97, dBm,
           138001452,Hz,              -63.05, dBm,
           138414678,Hz,              -45.88, dBm,
           138827904,Hz,              -60.22, dBm,
           139241130,Hz,              -48.01, dBm,
           139654356,Hz,              -52.84, dBm,
           140067582,Hz,              -53.53, dBm,
           140480808,Hz,              -48.03, dBm,
           140894034,Hz,              -59.92, dBm,
           141307260,Hz,              -46.82, dBm,
           141720486,Hz,              -46.36, dBm,
           142133712,Hz,              -63.95, dBm,
           142546938,Hz,              -46.90, dBm,
           142960164,Hz,              -65.13, dBm,
           143373390,Hz,              -62.55, dBm,
           143786616,Hz,              -47.51, dBm,
           144199842,Hz,              -61.82, dBm,
           144613068,Hz,              -47.91, dBm,
           145026294,Hz,              -63.03, dBm,
           145439520,Hz,              -64.42, dBm,
           145852746,Hz,              -48.62, dBm,
           146265972,Hz,              -64.45, dBm,
           146679198,Hz,              -47.47, dBm,
           147092424,Hz,              -62.11, dBm,
           147505650,Hz,              -62.58, dBm,
           147918876,Hz,              -48.86, dBm,
           148332102,Hz,              -65.20, dBm,
           148745328,Hz,              -48.13, dBm,
           149158554,Hz,              -63.64, dBm,
           149571780,Hz,              -61.83, dBm,
           149985006,Hz,              -48.81, dBm,
           150398232,Hz,              -64.31, dBm,
           150811458,Hz,              -64.91, dBm,
           151224684,Hz,              -49.19, dBm,
           151637910,Hz,              -63.47, dBm,
           152051136,Hz,              -48.12, dBm,
           152464362,Hz,              -63.26, dBm,
           152877588,Hz,              -60.95, dBm,
           153290814,Hz,              -49.11, dBm,
           153704040,Hz,              -63.56, dBm,
           154117266,Hz,              -50.06, dBm,
           154530492,Hz,              -61.58, dBm,
           154943718,Hz,              -63.22, dBm,
           155356944,Hz,              -49.44, dBm,
           155770170,Hz,              -62.29, dBm,
           156183396,Hz,              -49.29, dBm,
           156596622,Hz,              -62.18, dBm,
           157009848,Hz,              -62.08, dBm,
           157423074,Hz,              -49.53, dBm,
           157836300,Hz,              -63.06, dBm,
           158249526,Hz,              -50.96, dBm,
           158662752,Hz,              -61.45, dBm,
           159075978,Hz,              -57.07, dBm,
           159489204,Hz,              -49.78, dBm,
           159902430,Hz,              -53.40, dBm,
           160315656,Hz,              -54.35, dBm,
           160728882,Hz,              -48.98, dBm,
           161142108,Hz,              -62.95, dBm,
           161555334,Hz,              -49.73, dBm,
           161968560,Hz,              -63.29, dBm,
           162381786,Hz,              -62.52, dBm,
           162795012,Hz,              -50.12, dBm,
           163208238,Hz,              -64.06, dBm,
           163621464,Hz,              -51.88, dBm,
           164034690,Hz,              -65.13, dBm,
           164447916,Hz,              -63.39, dBm,
           164861142,Hz,              -52.36, dBm,
           165274368,Hz,              -64.94, dBm,
           165687594,Hz,              -65.67, dBm,
           166100820,Hz,              -51.52, dBm,
           166514046,Hz,              -63.61, dBm,
           166927272,Hz,              -51.84, dBm,
           167340498,Hz,              -64.69, dBm,
           167753724,Hz,              -63.19, dBm,
           168166950,Hz,              -52.41, dBm,
           168580176,Hz,              -63.74, dBm,
           168993402,Hz,              -52.59, dBm,
           169406628,Hz,              -65.02, dBm,
           169819854,Hz,              -64.11, dBm,
           170233080,Hz,              -52.62, dBm,
           170646306,Hz,              -65.51, dBm,
           171059532,Hz,              -52.09, dBm,
           171472758,Hz,              -63.50, dBm,
           171885984,Hz,              -63.60, dBm,
           172299210,Hz,              -51.64, dBm,
           172712436,Hz,              -63.64, dBm,
           173125662,Hz,              -52.82, dBm,
           173538888,Hz,              -63.90, dBm,
           173952114,Hz,              -63.92, dBm,
           174365340,Hz,              -52.84, dBm,
           174778566,Hz,              -64.32, dBm,
           175191792,Hz,              -64.93, dBm,
           175605018,Hz,              -53.22, dBm,
           176018244,Hz,              -65.22, dBm,
           176431470,Hz,              -53.73, dBm,
           176844696,Hz,              -60.87, dBm,
           177257922,Hz,              -63.73, dBm,
           177671148,Hz,              -55.29, dBm,
           178084374,Hz,              -62.97, dBm,
           178497600,Hz,              -54.92, dBm,
           178910826,Hz,              -63.35, dBm,
