X,CH1,Start,Increment,
Sequence,Volt,7.39E-04,1.00E-09,10ns
0,-1.20E+00,,,500MHz
1,-1.00E+00,,,
2,-1.00E+00,,,
3,-8.00E-01,,,
4,-1.40E+00,,,
5,-1.60E+00,,,
6,-2.20E+00,,,
7,-2.60E+00,,,
8,-3.00E+00,,,
9,-3.40E+00,,,
10,-4.00E+00,,,
11,-4.00E+00,,,
12,-4.00E+00,,,
13,-3.80E+00,,,
14,-3.20E+00,,,
15,-2.80E+00,,,
16,-2.20E+00,,,
17,-1.80E+00,,,
18,-1.60E+00,,,
19,-1.00E+00,,,
20,-1.00E+00,,,
21,-8.00E-01,,,
22,-1.20E+00,,,
23,-1.40E+00,,,
24,-2.00E+00,,,
25,-2.60E+00,,,
26,-3.20E+00,,,
27,-3.80E+00,,,
28,-4.20E+00,,,
29,-4.20E+00,,,
30,-4.40E+00,,,
31,-4.00E+00,,,
32,-3.40E+00,,,
33,-2.80E+00,,,
34,-2.40E+00,,,
35,-1.40E+00,,,
36,-1.00E+00,,,
37,-6.00E-01,,,
38,-2.00E-01,,,
39,-2.00E-01,,,
40,-4.00E-01,,,
41,-8.00E-01,,,
42,-1.80E+00,,,
43,-2.40E+00,,,
44,-3.80E+00,,,
45,-4.60E+00,,,
46,-5.40E+00,,,
47,-6.00E+00,,,
48,-6.00E+00,,,
49,-5.60E+00,,,
50,-4.80E+00,,,
51,-3.20E+00,,,
52,-1.40E+00,,,
53,8.00E-01,,,
54,3.60E+00,,,
55,6.60E+00,,,
56,9.20E+00,,,
57,1.18E+01,,,
58,1.40E+01,,,
59,1.62E+01,,,
60,1.72E+01,,,
61,1.78E+01,,,
62,1.72E+01,,,
63,1.66E+01,,,
64,1.48E+01,,,
65,1.28E+01,,,
66,1.00E+01,,,
67,7.60E+00,,,
68,4.40E+00,,,
69,1.80E+00,,,
70,-8.00E-01,,,
71,-2.80E+00,,,
72,-4.40E+00,,,
73,-5.40E+00,,,
74,-6.00E+00,,,
75,-6.00E+00,,,
76,-5.60E+00,,,
77,-4.80E+00,,,
78,-3.80E+00,,,
79,-2.60E+00,,,
80,-1.60E+00,,,
81,-8.00E-01,,,
82,-2.00E-01,,,
83,4.00E-01,,,
84,2.00E-01,,,
85,2.00E-01,,,
86,-4.00E-01,,,
87,-8.00E-01,,,
88,-1.60E+00,,,
89,-2.20E+00,,,
90,-3.00E+00,,,
91,-3.40E+00,,,
92,-4.00E+00,,,
93,-4.00E+00,,,
94,-4.00E+00,,,
95,-3.80E+00,,,
96,-3.20E+00,,,
97,-2.80E+00,,,
98,-2.20E+00,,,
99,-1.60E+00,,,
100,-1.40E+00,,,
101,-1.00E+00,,,
102,-1.00E+00,,,
103,-1.00E+00,,,
104,-1.40E+00,,,
105,-1.60E+00,,,
106,-2.20E+00,,,
107,-2.60E+00,,,
108,-3.20E+00,,,
109,-3.40E+00,,,
110,-4.00E+00,,,
111,-4.00E+00,,,
112,-3.80E+00,,,
113,-3.80E+00,,,
114,-3.20E+00,,,
115,-2.80E+00,,,
116,-2.40E+00,,,
117,-1.80E+00,,,
118,-1.40E+00,,,
119,-1.00E+00,,,
