X,CH1,Start,Increment,
Sequence,Volt,7.39E-04,1.00E-09,1250MHz
0,-2.40E+00,,,5ns
1,-3.20E+00,,,
2,-4.00E+00,,,
3,-3.00E+00,,,
4,-2.00E+00,,,
5,-1.20E+00,,,
6,-1.00E+00,,,
7,-1.40E+00,,,
8,-2.60E+00,,,
9,-3.20E+00,,,
10,-3.20E+00,,,
11,-2.40E+00,,,
12,-1.20E+00,,,
13,-8.00E-01,,,
14,-1.40E+00,,,
15,-2.80E+00,,,
16,-4.60E+00,,,
17,-4.80E+00,,,
18,-2.80E+00,,,
19,2.00E+00,,,
20,7.60E+00,,,
21,1.22E+01,,,
22,1.42E+01,,,
23,1.36E+01,,,
24,9.40E+00,,,
25,4.40E+00,,,
26,-2.00E-01,,,
27,-2.60E+00,,,
28,-3.00E+00,,,
29,-2.00E+00,,,
30,-1.00E+00,,,
31,-8.00E-01,,,
32,-1.60E+00,,,
33,-2.60E+00,,,
34,-3.80E+00,,,
35,-3.40E+00,,,
36,-2.80E+00,,,
37,-1.80E+00,,,
38,-1.20E+00,,,
39,-1.40E+00,,,
40,-2.40E+00,,,
41,-3.20E+00,,,
42,-3.80E+00,,,
43,-3.20E+00,,,
44,-2.20E+00,,,
45,-1.20E+00,,,
46,-8.00E-01,,,
47,-1.40E+00,,,
48,-2.60E+00,,,
49,-3.20E+00,,,
50,-3.20E+00,,,
51,-2.40E+00,,,
52,-1.20E+00,,,
53,-6.00E-01,,,
54,-1.40E+00,,,
55,-2.80E+00,,,
56,-4.60E+00,,,
57,-4.80E+00,,,
58,-2.60E+00,,,
59,1.80E+00,,,
