X,CH1,Start,Increment,
Sequence,Volt,7.40E-04,1.00E-09,50ns
0,1.34E+01,,,12 divs
1,1.32E+01,,,
2,1.18E+01,,,
3,9.40E+00,,,
4,8.40E+00,,,
5,8.20E+00,,,
6,8.00E+00,,,
7,7.60E+00,,,
8,7.20E+00,,,
9,4.80E+00,,,
10,3.00E+00,,,
11,2.40E+00,,,
12,2.20E+00,,,
13,1.60E+00,,,
14,1.80E+00,,,
15,6.00E-01,,,
16,-1.20E+00,,,
17,-2.40E+00,,,
18,-2.40E+00,,,
19,-2.80E+00,,,
20,-3.00E+00,,,
21,-3.20E+00,,,
22,-4.00E+00,,,
23,-5.20E+00,,,
24,-5.40E+00,,,
25,-5.60E+00,,,
26,-5.80E+00,,,
27,-5.80E+00,,,
28,-6.00E+00,,,
29,-6.20E+00,,,
30,-6.20E+00,,,
31,-6.20E+00,,,
32,-6.20E+00,,,
33,-6.20E+00,,,
34,-6.20E+00,,,
35,-6.00E+00,,,
36,-5.60E+00,,,
37,-5.20E+00,,,
38,-5.00E+00,,,
39,-5.00E+00,,,
40,-5.00E+00,,,
41,-5.00E+00,,,
42,-4.20E+00,,,
43,-3.20E+00,,,
44,-3.00E+00,,,
45,-3.00E+00,,,
46,-2.80E+00,,,
47,-2.80E+00,,,
48,-2.40E+00,,,
49,-1.80E+00,,,
50,-1.00E+00,,,
51,-8.00E-01,,,
52,-8.00E-01,,,
53,-8.00E-01,,,
54,-6.00E-01,,,
55,-6.00E-01,,,
56,-2.00E-01,,,
57,-4.35E-05,,,
58,2.00E-01,,,
59,2.00E-01,,,
60,2.00E-01,,,
61,-4.35E-05,,,
62,2.00E-01,,,
63,-4.35E-05,,,
64,-4.35E-05,,,
65,-4.35E-05,,,
66,-4.35E-05,,,
67,-4.35E-05,,,
68,-4.35E-05,,,
69,-6.00E-01,,,
70,-1.00E+00,,,
71,-1.20E+00,,,
72,-1.20E+00,,,
73,-1.40E+00,,,
74,-1.20E+00,,,
75,-1.60E+00,,,
76,-2.20E+00,,,
77,-2.60E+00,,,
78,-2.60E+00,,,
79,-2.80E+00,,,
80,-2.80E+00,,,
81,-2.80E+00,,,
82,-3.20E+00,,,
83,-3.80E+00,,,
84,-4.00E+00,,,
85,-4.00E+00,,,
86,-4.00E+00,,,
87,-4.20E+00,,,
88,-4.20E+00,,,
89,-4.40E+00,,,
90,-4.40E+00,,,
91,-4.40E+00,,,
92,-4.40E+00,,,
93,-4.60E+00,,,
94,-4.60E+00,,,
95,-4.40E+00,,,
96,-4.20E+00,,,
97,-4.00E+00,,,
98,-4.00E+00,,,
99,-4.00E+00,,,
100,-4.00E+00,,,
101,-4.00E+00,,,
