Trace1,
Freq,,Amp,,
              810420,Hz,              -24.67, dBm,
              999095,Hz,              -24.68, dBm,
             1187770,Hz,              -26.27, dBm,
             1376445,Hz,              -31.00, dBm,
             1565120,Hz,              -39.86, dBm,
             1753795,Hz,              -50.15, dBm,
             1942470,Hz,              -61.63, dBm,
             2131145,Hz,              -61.59, dBm,
             2319820,Hz,              -63.89, dBm,
             2508495,Hz,              -61.81, dBm,
             2697170,Hz,              -65.94, dBm,
             2885845,Hz,              -61.67, dBm,
             3074520,Hz,              -65.15, dBm,
             3263195,Hz,              -59.60, dBm,
             3451870,Hz,              -62.03, dBm,
             3640545,Hz,              -64.28, dBm,
             3829220,Hz,              -63.62, dBm,
             4017895,Hz,              -66.40, dBm,
             4206570,Hz,              -61.82, dBm,
             4395245,Hz,              -61.95, dBm,
             4583920,Hz,              -62.17, dBm,
             4772595,Hz,              -65.85, dBm,
             4961270,Hz,              -62.18, dBm,
             5149945,Hz,              -59.50, dBm,
             5338620,Hz,              -62.27, dBm,
             5527295,Hz,              -61.12, dBm,
             5715970,Hz,              -62.66, dBm,
             5904645,Hz,              -65.24, dBm,
             6093320,Hz,              -64.73, dBm,
             6281995,Hz,              -65.28, dBm,
             6470670,Hz,              -63.08, dBm,
             6659345,Hz,              -62.70, dBm,
             6848020,Hz,              -62.06, dBm,
             7036695,Hz,              -62.45, dBm,
             7225370,Hz,              -63.04, dBm,
             7414045,Hz,              -65.57, dBm,
             7602720,Hz,              -63.26, dBm,
             7791395,Hz,              -63.45, dBm,
             7980070,Hz,              -65.68, dBm,
             8168745,Hz,              -40.43, dBm,
             8357420,Hz,              -54.09, dBm,
             8546095,Hz,              -43.09, dBm,
             8734770,Hz,              -32.10, dBm,
             8923445,Hz,              -22.70, dBm,
             9112120,Hz,              -18.73, dBm,
             9300795,Hz,              -12.52, dBm,
             9489470,Hz,               -8.03, dBm,
             9678145,Hz,               -5.17, dBm,
             9866820,Hz,               -4.04, dBm,
            10055495,Hz,               -4.09, dBm,
            10244170,Hz,               -3.83, dBm,
            10432845,Hz,               -4.14, dBm,
            10621520,Hz,               -6.20, dBm,
            10810195,Hz,               -7.89, dBm,
            10998870,Hz,              -12.94, dBm,
            11187545,Hz,              -20.19, dBm,
            11376220,Hz,              -13.20, dBm,
            11564895,Hz,              -42.15, dBm,
            11753570,Hz,              -54.18, dBm,
            11942245,Hz,              -62.10, dBm,
            12130920,Hz,              -65.78, dBm,
            12319595,Hz,              -71.05, dBm,
            12508270,Hz,              -63.92, dBm,
            12696945,Hz,              -67.46, dBm,
            12885620,Hz,              -19.75, dBm,
            13074295,Hz,              -64.37, dBm,
            13262970,Hz,              -64.06, dBm,
            13451645,Hz,              -65.26, dBm,
            13640320,Hz,              -67.48, dBm,
            13828995,Hz,              -61.84, dBm,
            14017670,Hz,              -64.10, dBm,
            14206345,Hz,              -63.44, dBm,
            14395020,Hz,              -22.08, dBm,
            14583695,Hz,              -64.78, dBm,
            14772370,Hz,              -67.07, dBm,
            14961045,Hz,              -66.60, dBm,
            15149720,Hz,              -66.60, dBm,
            15338395,Hz,              -62.96, dBm,
            15527070,Hz,              -65.41, dBm,
            15715745,Hz,              -67.14, dBm,
            15904420,Hz,              -55.24, dBm,
            16093095,Hz,              -64.89, dBm,
            16281770,Hz,              -65.08, dBm,
            16470445,Hz,              -67.56, dBm,
            16659120,Hz,              -64.05, dBm,
            16847795,Hz,              -65.03, dBm,
            17036470,Hz,              -66.68, dBm,
            17225145,Hz,              -64.52, dBm,
            17413820,Hz,              -58.73, dBm,
            17602495,Hz,              -64.78, dBm,
            17791170,Hz,              -67.36, dBm,
            17979845,Hz,              -65.45, dBm,
            18168520,Hz,              -59.36, dBm,
            18357195,Hz,              -49.57, dBm,
            18545870,Hz,              -38.23, dBm,
            18734545,Hz,              -27.87, dBm,
            18923220,Hz,              -19.21, dBm,
            19111895,Hz,              -15.86, dBm,
            19300570,Hz,              -10.45, dBm,
            19489245,Hz,               -6.75, dBm,
            19677920,Hz,               -4.87, dBm,
            19866595,Hz,               -4.41, dBm,
            20055270,Hz,               -4.21, dBm,
            20243945,Hz,               -4.83, dBm,
            20432620,Hz,               -6.85, dBm,
            20621295,Hz,              -10.41, dBm,
            20809970,Hz,              -12.66, dBm,
            20998645,Hz,              -18.87, dBm,
            21187320,Hz,              -27.37, dBm,
            21375995,Hz,              -37.62, dBm,
            21564670,Hz,              -48.50, dBm,
            21753345,Hz,              -25.86, dBm,
            21942020,Hz,              -64.03, dBm,
            22130695,Hz,              -64.81, dBm,
            22319370,Hz,              -64.19, dBm,
            22508045,Hz,              -65.93, dBm,
            22696720,Hz,              -63.40, dBm,
            22885395,Hz,              -66.55, dBm,
            23074070,Hz,              -64.93, dBm,
            23262745,Hz,              -22.38, dBm,
            23451420,Hz,              -64.06, dBm,
            23640095,Hz,              -66.96, dBm,
            23828770,Hz,              -66.19, dBm,
            24017445,Hz,              -64.08, dBm,
            24206120,Hz,              -65.59, dBm,
            24394795,Hz,              -68.86, dBm,
            24583470,Hz,              -64.56, dBm,
            24772145,Hz,              -24.44, dBm,
            24960820,Hz,              -66.93, dBm,
            25149495,Hz,              -65.10, dBm,
            25338170,Hz,              -66.70, dBm,
            25526845,Hz,              -66.91, dBm,
            25715520,Hz,              -64.90, dBm,
            25904195,Hz,              -64.43, dBm,
            26092870,Hz,              -64.99, dBm,
            26281545,Hz,              -27.65, dBm,
            26470220,Hz,              -65.44, dBm,
            26658895,Hz,              -63.69, dBm,
            26847570,Hz,              -65.45, dBm,
            27036245,Hz,              -66.56, dBm,
            27224920,Hz,              -62.43, dBm,
            27413595,Hz,              -63.84, dBm,
            27602270,Hz,              -66.42, dBm,
            27790945,Hz,              -59.73, dBm,
            27979620,Hz,              -61.69, dBm,
            28168295,Hz,              -59.21, dBm,
            28356970,Hz,              -49.78, dBm,
            28545645,Hz,              -38.35, dBm,
            28734320,Hz,              -28.15, dBm,
            28922995,Hz,              -23.55, dBm,
            29111670,Hz,              -16.18, dBm,
            29300345,Hz,              -10.80, dBm,
            29489020,Hz,               -7.08, dBm,
            29677695,Hz,               -5.20, dBm,
            29866370,Hz,               -4.72, dBm,
            30055045,Hz,               -4.52, dBm,
