Trace1,
Freq,,Amp,,
            17251837,Hz,              -31.88, dBm,
            17614522,Hz,              -64.53, dBm,
            17977207,Hz,              -31.43, dBm,
            18339892,Hz,              -33.14, dBm,
            18702577,Hz,              -32.94, dBm,
            19065262,Hz,              -30.58, dBm,
            19427947,Hz,              -65.13, dBm,
            19790632,Hz,              -29.66, dBm,
            20153317,Hz,              -63.15, dBm,
            20516002,Hz,              -28.41, dBm,
            20878687,Hz,              -61.74, dBm,
            21241372,Hz,              -63.42, dBm,
            21604057,Hz,              -26.87, dBm,
            21966742,Hz,              -64.88, dBm,
            22329427,Hz,              -24.76, dBm,
            22692112,Hz,              -65.55, dBm,
            23054797,Hz,              -21.36, dBm,
            23417482,Hz,              -35.44, dBm,
            23780167,Hz,              -27.94, dBm,
            24142852,Hz,              -12.83, dBm,
            24505537,Hz,               -5.32, dBm,
            24868222,Hz,               -4.10, dBm,
            25230907,Hz,               -3.87, dBm,
            25593592,Hz,               -5.88, dBm,
            25956277,Hz,              -13.44, dBm,
            26318962,Hz,              -24.14, dBm,
            26681647,Hz,              -20.10, dBm,
            27044332,Hz,              -60.21, dBm,
            27407017,Hz,              -25.29, dBm,
            27769702,Hz,              -65.62, dBm,
            28132387,Hz,              -28.35, dBm,
            28495072,Hz,              -61.17, dBm,
            28857757,Hz,              -65.67, dBm,
            29220442,Hz,              -30.79, dBm,
            29583127,Hz,              -65.16, dBm,
            29945812,Hz,              -32.20, dBm,
            30308497,Hz,              -63.19, dBm,
            30671182,Hz,              -35.02, dBm,
            31033867,Hz,              -33.60, dBm,
            31396552,Hz,              -63.15, dBm,
            31759237,Hz,              -34.77, dBm,
            32121922,Hz,              -66.58, dBm,
            32484607,Hz,              -35.32, dBm,
            32847292,Hz,              -63.70, dBm,
            33209977,Hz,              -35.88, dBm,
            33572662,Hz,              -64.87, dBm,
            33935347,Hz,              -62.46, dBm,
            34298032,Hz,              -36.32, dBm,
            34660717,Hz,              -63.86, dBm,
            35023402,Hz,              -36.37, dBm,
            35386087,Hz,              -63.93, dBm,
            35748772,Hz,              -46.89, dBm,
            36111457,Hz,              -36.49, dBm,
            36474142,Hz,              -63.35, dBm,
            36836827,Hz,              -36.09, dBm,
            37199512,Hz,              -65.33, dBm,
            37562197,Hz,              -36.14, dBm,
            37924882,Hz,              -64.91, dBm,
            38287567,Hz,              -65.53, dBm,
            38650252,Hz,              -35.83, dBm,
            39012937,Hz,              -62.75, dBm,
            39375622,Hz,              -35.37, dBm,
            39738307,Hz,              -63.96, dBm,
            40100992,Hz,              -34.94, dBm,
            40463677,Hz,              -62.64, dBm,
            40826362,Hz,              -42.15, dBm,
            41189047,Hz,              -34.66, dBm,
            41551732,Hz,              -65.23, dBm,
            41914417,Hz,              -33.82, dBm,
            42277102,Hz,              -65.61, dBm,
            42639787,Hz,              -33.34, dBm,
            43002472,Hz,              -62.66, dBm,
            43365157,Hz,              -62.76, dBm,
            43727842,Hz,              -32.35, dBm,
            44090527,Hz,              -64.37, dBm,
            44453212,Hz,              -31.48, dBm,
            44815897,Hz,              -64.36, dBm,
            45178582,Hz,              -30.29, dBm,
            45541267,Hz,              -62.55, dBm,
            45903952,Hz,              -31.05, dBm,
            46266637,Hz,              -28.70, dBm,
            46629322,Hz,              -64.51, dBm,
            46992007,Hz,              -26.87, dBm,
            47354692,Hz,              -63.23, dBm,
            47717377,Hz,              -24.01, dBm,
            48080062,Hz,              -62.24, dBm,
            48442747,Hz,              -30.71, dBm,
            48805432,Hz,              -18.86, dBm,
            49168117,Hz,              -12.91, dBm,
            49530802,Hz,               -5.78, dBm,
            49893487,Hz,               -4.52, dBm,
            50256172,Hz,               -4.40, dBm,
            50618857,Hz,               -6.50, dBm,
            50981542,Hz,              -14.38, dBm,
            51344227,Hz,              -16.43, dBm,
            51706912,Hz,              -46.24, dBm,
            52069597,Hz,              -23.53, dBm,
            52432282,Hz,              -62.05, dBm,
            52794967,Hz,              -26.82, dBm,
            53157652,Hz,              -64.22, dBm,
            53520337,Hz,              -29.77, dBm,
            53883022,Hz,              -29.52, dBm,
            54245707,Hz,              -62.34, dBm,
            54608392,Hz,              -31.41, dBm,
            54971077,Hz,              -64.43, dBm,
            55333762,Hz,              -33.14, dBm,
            55696447,Hz,              -64.24, dBm,
            56059132,Hz,              -65.09, dBm,
            56421817,Hz,              -34.53, dBm,
            56784502,Hz,              -65.39, dBm,
            57147187,Hz,              -35.86, dBm,
            57509872,Hz,              -65.35, dBm,
            57872557,Hz,              -37.72, dBm,
            58235242,Hz,              -36.84, dBm,
            58597927,Hz,              -39.27, dBm,
            58960612,Hz,              -36.93, dBm,
            59323297,Hz,              -65.46, dBm,
            59685982,Hz,              -37.37, dBm,
            60048667,Hz,              -62.19, dBm,
            60411352,Hz,              -37.56, dBm,
            60774037,Hz,              -64.47, dBm,
            61136722,Hz,              -64.13, dBm,
            61499407,Hz,              -37.90, dBm,
            61862092,Hz,              -65.21, dBm,
            62224777,Hz,              -37.47, dBm,
            62587462,Hz,              -65.48, dBm,
            62950147,Hz,              -37.29, dBm,
            63312832,Hz,              -39.19, dBm,
            63675517,Hz,              -65.53, dBm,
            64038202,Hz,              -36.76, dBm,
            64400887,Hz,              -63.23, dBm,
            64763572,Hz,              -36.58, dBm,
            65126257,Hz,              -64.05, dBm,
            65488942,Hz,              -47.72, dBm,
            65851627,Hz,              -36.22, dBm,
            66214312,Hz,              -63.45, dBm,
            66576997,Hz,              -35.46, dBm,
            66939682,Hz,              -62.83, dBm,
            67302367,Hz,              -34.73, dBm,
            67665052,Hz,              -63.17, dBm,
            68027737,Hz,              -33.69, dBm,
            68390422,Hz,              -48.11, dBm,
            68753107,Hz,              -62.61, dBm,
            69115792,Hz,              -32.71, dBm,
            69478477,Hz,              -63.67, dBm,
            69841162,Hz,              -31.64, dBm,
            70203847,Hz,              -62.23, dBm,
