X,CH1,Start,Increment,
253,8.60E+00,,,
254,8.40E+00,,,
255,8.00E+00,,,
256,7.60E+00,,,
257,7.60E+00,,,
258,7.20E+00,,,
259,7.40E+00,,,
260,7.20E+00,,,
261,7.40E+00,,,
262,7.20E+00,,,
263,7.40E+00,,,
264,7.40E+00,,,
265,7.40E+00,,,
266,7.40E+00,,,
267,7.40E+00,,,
268,7.20E+00,,,
269,7.40E+00,,,
270,7.20E+00,,,
271,6.60E+00,,,
272,4.20E+00,,,
273,2.60E+00,,,
274,2.40E+00,,,
275,2.00E+00,,,
276,1.60E+00,,,
277,1.60E+00,,,
278,1.40E+00,,,
279,1.40E+00,,,
280,1.40E+00,,,
281,1.40E+00,,,
282,1.20E+00,,,
283,1.40E+00,,,
284,1.20E+00,,,
285,1.40E+00,,,
286,1.20E+00,,,
287,1.40E+00,,,
288,1.40E+00,,,
289,1.40E+00,,,
290,1.20E+00,,,
291,6.00E-01,,,
292,-1.40E+00,,,
293,-2.40E+00,,,
294,-2.60E+00,,,
295,-3.00E+00,,,
296,-3.20E+00,,,
297,-3.20E+00,,,
298,-3.40E+00,,,
299,-3.40E+00,,,
300,-3.80E+00,,,
301,-3.80E+00,,,
302,-3.80E+00,,,
303,-3.40E+00,,,
304,-3.80E+00,,,
305,-3.80E+00,,,
306,-3.80E+00,,,
307,-3.40E+00,,,
308,-4.00E+00,,,
309,-3.40E+00,,,
310,-3.80E+00,,,
311,-4.00E+00,,,
312,-5.00E+00,,,
313,-5.40E+00,,,
314,-5.80E+00,,,
315,-5.80E+00,,,
316,-6.00E+00,,,
317,-6.00E+00,,,
318,-6.40E+00,,,
319,-6.20E+00,,,
320,-6.20E+00,,,
321,-6.20E+00,,,
322,-6.40E+00,,,
323,-6.20E+00,,,
324,-6.40E+00,,,
325,-6.20E+00,,,
326,-6.20E+00,,,
327,-6.20E+00,,,
328,-6.20E+00,,,
329,-6.00E+00,,,
330,-6.20E+00,,,
331,-6.20E+00,,,
332,-6.40E+00,,,
333,-6.40E+00,,,
334,-6.40E+00,,,
335,-6.40E+00,,,
336,-6.40E+00,,,
337,-6.40E+00,,,
338,-6.60E+00,,,
339,-6.40E+00,,,
340,-6.60E+00,,,
341,-6.40E+00,,,
342,-6.60E+00,,,
343,-6.60E+00,,,
344,-6.40E+00,,,
345,-6.40E+00,,,
346,-6.60E+00,,,
347,-6.40E+00,,,
348,-6.60E+00,,,
349,-6.40E+00,,,
350,-6.60E+00,,,
351,-6.20E+00,,,
352,-5.80E+00,,,
353,-5.40E+00,,,
354,-5.40E+00,,,
355,-5.20E+00,,,
356,-5.20E+00,,,
357,-5.00E+00,,,
358,-5.00E+00,,,
359,-5.00E+00,,,
360,-5.00E+00,,,
361,-5.00E+00,,,
362,-5.00E+00,,,
363,-5.00E+00,,,
364,-5.00E+00,,,
365,-5.00E+00,,,
366,-5.20E+00,,,
367,-5.00E+00,,,
368,-5.00E+00,,,
369,-5.00E+00,,,
370,-5.00E+00,,,
371,-4.80E+00,,,
372,-3.80E+00,,,
373,-3.00E+00,,,
374,-3.00E+00,,,
375,-2.80E+00,,,
376,-2.60E+00,,,
377,-2.60E+00,,,
378,-2.60E+00,,,
379,-2.40E+00,,,
380,-2.60E+00,,,
381,-2.60E+00,,,
382,-2.60E+00,,,
383,-2.60E+00,,,
384,-2.40E+00,,,
385,-2.60E+00,,,
386,-2.80E+00,,,
387,-2.60E+00,,,
388,-2.60E+00,,,
389,-2.40E+00,,,
390,-2.60E+00,,,
391,-2.20E+00,,,
392,-1.60E+00,,,
393,-1.00E+00,,,
394,-1.00E+00,,,
395,-8.00E-01,,,
396,-8.00E-01,,,
397,-6.00E-01,,,
398,-8.00E-01,,,
399,-6.00E-01,,,
400,-6.00E-01,,,
401,-6.00E-01,,,
402,-8.00E-01,,,
403,-6.00E-01,,,
404,-8.00E-01,,,
405,-6.00E-01,,,
406,-6.00E-01,,,
407,-6.00E-01,,,
408,-6.00E-01,,,
409,-6.00E-01,,,
410,-6.00E-01,,,
411,-4.00E-01,,,
412,-2.00E-01,,,
413,2.00E-01,,,
414,-4.35E-05,,,
415,2.00E-01,,,
416,2.00E-01,,,
417,2.00E-01,,,
418,2.00E-01,,,
419,4.00E-01,,,
420,2.00E-01,,,
421,4.00E-01,,,
422,2.00E-01,,,
423,4.00E-01,,,
424,4.00E-01,,,
425,4.00E-01,,,
426,4.00E-01,,,
427,4.00E-01,,,
428,4.00E-01,,,
429,4.00E-01,,,
430,2.00E-01,,,
431,4.00E-01,,,
432,2.00E-01,,,
433,2.00E-01,,,
434,-4.35E-05,,,
435,2.00E-01,,,
436,-4.35E-05,,,
437,-4.35E-05,,,
438,-4.35E-05,,,
439,2.00E-01,,,
440,-4.35E-05,,,
441,-4.35E-05,,,
442,-4.35E-05,,,
443,2.00E-01,,,
444,-4.35E-05,,,
445,2.00E-01,,,
446,-4.35E-05,,,
447,2.00E-01,,,
448,-4.35E-05,,,
449,2.00E-01,,,
450,-4.35E-05,,,
451,-4.35E-05,,,
452,-6.00E-01,,,
453,-1.00E+00,,,
454,-1.00E+00,,,
455,-1.00E+00,,,
456,-1.00E+00,,,
457,-1.20E+00,,,
458,-1.20E+00,,,
459,-1.00E+00,,,
460,-1.40E+00,,,
461,-1.20E+00,,,
462,-1.40E+00,,,
463,-1.00E+00,,,
464,-1.20E+00,,,
465,-1.20E+00,,,
466,-1.40E+00,,,
467,-1.20E+00,,,
468,-1.40E+00,,,
469,-1.20E+00,,,
470,-1.40E+00,,,
471,-1.40E+00,,,
472,-2.00E+00,,,
473,-2.40E+00,,,
474,-2.60E+00,,,
475,-2.40E+00,,,
476,-2.80E+00,,,
477,-2.80E+00,,,
478,-2.80E+00,,,
479,-2.80E+00,,,
480,-2.80E+00,,,
481,-2.80E+00,,,
482,-3.00E+00,,,
483,-2.80E+00,,,
484,-3.00E+00,,,
485,-2.80E+00,,,
486,-2.80E+00,,,
487,-2.80E+00,,,
488,-2.80E+00,,,
489,-2.80E+00,,,
490,-2.80E+00,,,
491,-2.80E+00,,,
492,-3.80E+00,,,
493,-4.00E+00,,,
494,-4.00E+00,,,
495,-4.00E+00,,,
496,-4.20E+00,,,
497,-4.20E+00,,,
498,-4.20E+00,,,
499,-4.20E+00,,,
500,-4.40E+00,,,
501,-4.20E+00,,,
502,-4.20E+00,,,
503,-4.40E+00,,,
504,-4.20E+00,,,
505,-4.20E+00,,,
506,-4.20E+00,,,
507,-4.20E+00,,,
508,-4.20E+00,,,
509,-4.20E+00,,,
510,-4.20E+00,,,
511,-4.20E+00,,,
512,-4.20E+00,,,
513,-4.40E+00,,,
514,-4.60E+00,,,
515,-4.60E+00,,,
516,-4.60E+00,,,
517,-4.40E+00,,,
518,-4.60E+00,,,
519,-4.60E+00,,,
520,-4.60E+00,,,
521,-4.60E+00,,,
522,-4.60E+00,,,
523,-4.40E+00,,,
524,-4.60E+00,,,
525,-4.60E+00,,,
526,-4.60E+00,,,
527,-4.60E+00,,,
528,-4.60E+00,,,
529,-4.60E+00,,,
530,-4.80E+00,,,
531,-4.60E+00,,,
532,-4.40E+00,,,
533,-4.00E+00,,,
534,-4.00E+00,,,
535,-4.00E+00,,,
536,-4.00E+00,,,
537,-4.00E+00,,,
538,-4.00E+00,,,
539,-3.80E+00,,,
540,-4.00E+00,,,
541,-4.00E+00,,,
542,-4.00E+00,,,
543,-4.00E+00,,,
544,-4.00E+00,,,
545,-4.00E+00,,,
546,-4.20E+00,,,
547,-4.00E+00,,,
548,-4.00E+00,,,
549,-4.00E+00,,,
550,-4.00E+00,,,
551,-3.80E+00,,,
552,-3.20E+00,,,
553,-2.80E+00,,,
554,-2.80E+00,,,
555,-2.60E+00,,,
556,-2.80E+00,,,
557,-2.60E+00,,,
558,-2.80E+00,,,
559,-2.60E+00,,,
560,-2.60E+00,,,
561,-2.60E+00,,,
562,-2.60E+00,,,
563,-2.60E+00,,,
564,-2.60E+00,,,
565,-2.60E+00,,,
566,-2.60E+00,,,
567,-2.60E+00,,,
568,-2.60E+00,,,
569,-2.60E+00,,,
570,-2.60E+00,,,
571,-2.40E+00,,,
572,-2.00E+00,,,
573,-1.60E+00,,,
574,-1.80E+00,,,
575,-1.60E+00,,,
576,-1.40E+00,,,
577,-1.40E+00,,,
578,-1.60E+00,,,
579,-1.40E+00,,,
580,-1.40E+00,,,
581,-1.20E+00,,,
582,-1.40E+00,,,
583,-1.40E+00,,,
584,-1.40E+00,,,
585,-1.40E+00,,,
586,-1.40E+00,,,
587,-1.20E+00,,,
588,-1.40E+00,,,
589,-1.40E+00,,,
590,-1.60E+00,,,
591,-1.20E+00,,,
592,-1.00E+00,,,
593,-8.00E-01,,,
594,-8.00E-01,,,
595,-8.00E-01,,,
596,-8.00E-01,,,
597,-6.00E-01,,,
598,-8.00E-01,,,
599,-6.00E-01,,,
600,-6.00E-01,,,
601,-6.00E-01,,,
602,-6.00E-01,,,
603,-6.00E-01,,,
604,-8.00E-01,,,
605,-6.00E-01,,,
606,-8.00E-01,,,
607,-6.00E-01,,,
608,-6.00E-01,,,
609,-6.00E-01,,,
610,-8.00E-01,,,
611,-6.00E-01,,,
612,-8.00E-01,,,
613,-6.00E-01,,,
614,-8.00E-01,,,
615,-6.00E-01,,,
616,-6.00E-01,,,
617,-6.00E-01,,,
618,-6.00E-01,,,
619,-6.00E-01,,,
620,-8.00E-01,,,
621,-6.00E-01,,,
622,-8.00E-01,,,
623,-6.00E-01,,,
624,-6.00E-01,,,
625,-6.00E-01,,,
626,-8.00E-01,,,
627,-8.00E-01,,,
628,-8.00E-01,,,
629,-6.00E-01,,,
630,-8.00E-01,,,
631,-8.00E-01,,,
632,-1.00E+00,,,
633,-1.20E+00,,,
634,-1.40E+00,,,
635,-1.20E+00,,,
636,-1.60E+00,,,
637,-1.60E+00,,,
